asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns
B09F1WPMC3,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09JVRZTFD,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,31 - Emerald Green,Twin XL,FALSE,FALSE
B0BHR7WRH2,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B094Q9F5QT,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09H72Y1J9,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0B5QMR3PR,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B078P4NW3Z,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,TwinXL4PCLightGrey,03 - Light Grey,Twin XL,FALSE,FALSE
B09JVCD7J4,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,14 - Khaki,King,FALSE,FALSE
B096G3MQMS,0,B09GK2JJDZ,Guild,,Acatinthetree,,Industrial Steel,"Large 1.34""",FALSE,FALSE
B06X9GLNKZ,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,CalKing4PCLightGrey,03 - Light Grey,California King,FALSE,FALSE
B07BTR4V8N,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Sulphur,8 Women/6 Men,FALSE,FALSE
B07H2PD9QX,0,B005GCCJME,Shoes,Crocs,Crocs,206867,White/Microchip,8 Women/6 Men,FALSE,FALSE
B07PH2PP8X,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,39 - Coral,Full,FALSE,FALSE
B06XWXTWXT,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BBMSWMM2,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09JVKVLPS,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,14 - Khaki,Twin XL,FALSE,FALSE
B09JVCNXZZ,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,07 - Charcoal,Twin,FALSE,FALSE
B07L57WBLT,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Ballerina Pink,15 Women/13 Men,FALSE,FALSE
B07PH2RQ7D,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,Full4PCDenimBlue,19 - Denim Blue,Full,FALSE,FALSE
B09773RPRG,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Pure Water,14 Women/12 Men,FALSE,FALSE
B08ZKWJZCV,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B07K8WHH5J,0,B08TLJFGSP,Office Product,Amazon Basics,Amazon Basics,AMZN8RM,White,8 Reams | 4000 Sheets,TRUE,TRUE
B005PQQ1VQ,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Chocolate,17 Women/15 Men,TRUE,FALSE
B07BTNVHVL,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Digital Violet,5 Women/3 Men,FALSE,FALSE
B01LR5SIRI,0,B09Q3YJW2P,Sports,Amazon Basics,Amazon Basics,DB1001,Light Green,"20-Pound, Set of 2",TRUE,FALSE
B072JN5NWB,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Grass Green,14 Women/12 Men,FALSE,FALSE
B0BHRBFWZV,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BBMP9TN1,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08ZKVFQN2,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09GKLZHQW,0,B00U8QEXBS,Home,Amazon,Amazon Basics,SS24-Q-LTGR,Light Gray,Queen,TRUE,FALSE
B06X9SJB2N,0,B00U8QEXBS,Home,Amazon Basics,Amazon Basics,SS-BGD-FL,Burgundy,Full,TRUE,FALSE
B0959WV31F,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BHJLHVWP,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B07D6MXPF9,0,B005GCCJME,Shoes,,Crocs,,Black/Black,9,FALSE,FALSE
B00889ZAY6,0,B09NZDFPP9,Home,"Plaid Enterprises, Inc.",Apple Barrel,21486,Purple Iris,2 Fl Oz (Pack of 1),FALSE,FALSE
B08X6KBBPZ,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09H736RDH,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BFNMNVDJ,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Atmosphere,15 Women/13 Men,FALSE,FALSE
B0B3S4LNQS,0,B09NZDFPP9,Home,"Plaid Enterprises, Inc.",Apple Barrel,20741EA,Cloudless,2 Fl Oz (Pack of 3),FALSE,FALSE
B071HXB8HG,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Ballerina Pink,10 Women/8 Men,FALSE,FALSE
B0014C5VG6,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Chocolate,13 Women/11 Men,FALSE,FALSE
B00PEM8SIA,1,,Mobile Applications,Papenmeier Software UG (haftungsbeschränkt),Papenmeier Software UG (haftungsbeschränkt),,,,FALSE,FALSE
B09773CPLQ,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Pure Water,8 Women/6 Men,FALSE,FALSE
B06WWRCZY8,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,King4PCSageGreen,30 - Sage Green,King,FALSE,FALSE
B0B13ZT755,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B09773NLDN,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Pure Water,16 Women/14 Men,FALSE,FALSE
